investor,host,year,position_mio_eur,income_mio_eur
BE,RO,2013,162.0,114.0
BE,RO,2014,199.0,
BE,RO,2015,192.0,
BE,RO,2016,169.0,87.0
BE,RO,2017,,117.0
BE,RO,2018,,116.0
BE,RO,2019,340.0,96.0
BE,RO,2020,295.0,-143.0
BE,RO,2021,446.0,193.0
BE,RO,2022,343.0,349.0
BE,RO,2023,332.0,432.0
BE,RO,2024,257.0,518.0
BE,SE,2013,13078.0,59.0
BE,SE,2014,9947.0,126.0
BE,SE,2015,,14.0
BE,SE,2016,9669.0,76.0
BE,SE,2017,11416.0,157.0
BE,SE,2018,3511.0,71.0
BE,SE,2019,3915.0,131.0
BE,SE,2020,3169.0,54.0
BE,SE,2021,3444.0,92.0
BE,SE,2022,3092.0,35.0
BE,SE,2023,2857.0,49.0
BE,SE,2024,2990.0,88.0
BE,SI,2013,30.0,
BE,SI,2014,29.0,
BE,SI,2017,,96.0
BE,SI,2019,35.0,98.0
BE,SI,2020,6.0,109.0
BE,SI,2021,4.0,76.0
BE,SI,2022,9.0,112.0
BE,SI,2023,8.0,101.0
BE,SI,2024,2.0,131.0
BE,SK,2013,153.0,96.0
BE,SK,2014,196.0,97.0
BE,SK,2015,144.0,113.0
BE,SK,2016,,113.0
BE,SK,2017,,92.0
BE,SK,2018,,54.0
BE,SK,2019,186.0,102.0
BE,SK,2020,198.0,81.0
BE,SK,2021,165.0,127.0
BE,SK,2022,187.0,61.0
BE,SK,2023,68.0,141.0
BE,SK,2024,82.0,115.0
BE,UK,2013,32879.0,-84.0
BE,UK,2014,33346.0,398.0
BE,UK,2015,,-642.0
BE,UK,2016,,9390.0
BE,UK,2017,,7120.0
BE,UK,2018,,10017.0
BE,UK,2019,23073.0,5407.0
BE,UK,2020,23043.0,6.0
BE,UK,2021,24817.0,3112.0
BE,UK,2022,22082.0,5656.0
BE,UK,2023,23134.0,6334.0
BE,UK,2024,20268.0,7808.0
BG,AT,2013,39.6,0.7
BG,AT,2014,46.0,0.0
BG,AT,2015,36.9,0.0
BG,AT,2016,54.6,-0.4
BG,AT,2017,141.8,-1.3
BG,AT,2018,164.5,-2.4
